exit_ts,slug,asset,tf,entry_price,exit_price,shares,cost,pnl,won,exit_reason,entry_ts
2026-03-12T13:42:27.567204+00:00,eth-updown-15m-1773322200,ETH,15m,0.925,0.965,10.0,9.25,0.40000000000000036,True,profit_lock,2026-03-12T13:37:08.864765+00:00
2026-03-12T13:44:11.133436+00:00,xrp-updown-15m-1773322200,XRP,15m,0.91,0.895,10.0,9.1,-0.15000000000000036,False,expiring,2026-03-12T13:38:55.814145+00:00
2026-03-12T14:12:03.447661+00:00,eth-updown-15m-1773324000,ETH,15m,0.915,0.945,10.0,9.15,0.29999999999999893,True,profit_lock,2026-03-12T14:05:10.347991+00:00
2026-03-12T15:46:51.192772+00:00,bitcoin-up-or-down-march-12-11am-et,BTC,1h,0.925,0.99,21.0,19.425,1.3649999999999984,True,target,2026-03-12T15:27:44.176778+00:00
2026-03-12T15:47:26.155883+00:00,ethereum-up-or-down-march-12-11am-et,ETH,1h,0.935,0.99,12.0,11.22,0.7799999999999994,True,auto_resolved,2026-03-12T15:29:34.546241+00:00
2026-03-12T15:48:02.235117+00:00,xrp-up-or-down-march-12-11am-et,XRP,1h,0.92,0.9855,10.0,9.200000000000001,0.6549999999999994,True,profit_lock,2026-03-12T15:33:38.681470+00:00
2026-03-12T15:53:56.621950+00:00,xrp-up-or-down-march-12-11am-et,XRP,1h,0.9855,0.99,10.0,9.855,0.14499999999999957,True,auto_resolved,2026-03-12T15:48:00.291904+00:00
2026-03-12T16:27:05.122214+00:00,btc-updown-15m-1773332100,BTC,15m,0.97,0.655,10.0,9.7,-3.1499999999999986,False,stop_loss,2026-03-12T16:23:23.876466+00:00
2026-03-12T16:27:05.660974+00:00,eth-updown-15m-1773332100,ETH,15m,0.96,0.555,10.0,9.6,-4.049999999999999,False,stop_loss,2026-03-12T16:23:23.876466+00:00
2026-03-12T16:42:31.498924+00:00,xrp-updown-15m-1773333000,XRP,15m,0.945,0.96,10.0,9.45,0.15000000000000036,True,profit_lock,2026-03-12T16:37:25.729301+00:00
2026-03-12T16:42:32.124390+00:00,btc-updown-15m-1773333000,BTC,15m,0.915,0.95,10.0,9.15,0.34999999999999964,True,profit_lock,2026-03-12T16:37:25.729301+00:00
2026-03-12T16:42:32.703148+00:00,eth-updown-15m-1773333000,ETH,15m,0.905,0.94,11.0,9.955,0.3849999999999998,True,profit_lock,2026-03-12T16:37:25.729301+00:00
2026-03-12T17:43:20.901861+00:00,xrp-updown-15m-1773336600,XRP,15m,0.94,0.97,10.0,9.399999999999999,0.3000000000000007,True,profit_lock,2026-03-12T17:39:14.903326+00:00
2026-03-12T18:06:00.457030+00:00,51435005930782632385510984183849121147158102134228616543477464938526984327251,ORPHAN,?,0,0.99,16.321556,15.831892998444,0.3264474415560006,True,target,
2026-03-12T18:11:47.808818+00:00,17979886136387860603827605296073813996055638872592057332510183306310802937599,ORPHAN,?,0,0.99,16.48892,15.8293632,0.49466759999999965,True,target,
2026-03-12T18:42:54.345391+00:00,eth-updown-15m-1773340200,ETH,15m,0.905,0.785,11.0,9.955,-1.3200000000000003,False,stop_loss,2026-03-12T18:38:50.791049+00:00
2026-03-12T19:27:06.856571+00:00,btc-updown-15m-1773342900,BTC,15m,0.92,0.99,10.0,9.200000000000001,0.6999999999999993,True,target,2026-03-12T19:22:54.849385+00:00
2026-03-12T19:27:07.412417+00:00,eth-updown-15m-1773342900,ETH,15m,0.955,0.985,10.0,9.549999999999999,0.3000000000000007,True,profit_lock,2026-03-12T19:24:09.364423+00:00
2026-03-12T19:42:11.259929+00:00,eth-updown-15m-1773343800,ETH,15m,0.905,0.935,11.0,9.955,0.33000000000000007,True,profit_lock,2026-03-12T19:39:14.046836+00:00
2026-03-12T19:45:35.076187+00:00,ethereum-up-or-down-march-12-3pm-et,ETH,1h,0.955,0.99,10.0,9.549999999999999,0.3500000000000014,True,target,2026-03-12T19:33:17.899671+00:00
2026-03-12T19:47:50.718622+00:00,bitcoin-up-or-down-march-12-3pm-et,BTC,1h,0.925,0.99,14.0,12.950000000000001,0.9099999999999984,True,target,2026-03-12T19:34:02.302681+00:00
