resolved_timestamp,event_slug,series_slug,asset,timeframe,market_type,threshold_price,winning_outcome
2026-03-06T09:22:17Z,xrp-updown-5m-1772788500,xrp-up-or-down-5m,XRP,5m,up_down,,Up
2026-03-06T09:22:17Z,btc-updown-5m-1772788500,btc-up-or-down-5m,BTC,5m,up_down,,Up
2026-03-06T09:22:17Z,eth-updown-5m-1772788500,eth-up-or-down-5m,ETH,5m,up_down,,Down
2026-03-06T09:27:35Z,eth-updown-5m-1772788800,eth-up-or-down-5m,ETH,5m,up_down,,Down
2026-03-06T09:27:35Z,sol-updown-5m-1772788800,sol-up-or-down-5m,SOL,5m,up_down,,Down
2026-03-06T09:27:35Z,xrp-updown-5m-1772788800,xrp-up-or-down-5m,XRP,5m,up_down,,Down
2026-03-06T09:27:35Z,btc-updown-5m-1772788800,btc-up-or-down-5m,BTC,5m,up_down,,Down
2026-03-06T09:30:46Z,xrp-up-or-down-march-6-2am-et,xrp-up-or-down-hourly,XRP,1h,up_down,,Up
2026-03-06T09:30:46Z,ethereum-up-or-down-march-6-2am-et,eth-up-or-down-hourly,ETH,1h,up_down,,Up
2026-03-06T09:31:49Z,bitcoin-up-or-down-march-6-2am-et,btc-up-or-down-hourly,BTC,1h,up_down,,Up
2026-03-06T09:32:53Z,sol-updown-5m-1772789100,sol-up-or-down-5m,SOL,5m,up_down,,Down
2026-03-06T09:32:53Z,eth-updown-15m-1772788500,eth-up-or-down-15m,ETH,15m,up_down,,Down
2026-03-06T09:32:53Z,btc-updown-5m-1772789100,btc-up-or-down-5m,BTC,5m,up_down,,Down
2026-03-06T09:32:53Z,btc-updown-15m-1772788500,btc-up-or-down-15m,BTC,15m,up_down,,Down
2026-03-06T09:32:53Z,xrp-updown-5m-1772789100,xrp-up-or-down-5m,XRP,5m,up_down,,Down
2026-03-06T09:32:53Z,sol-updown-15m-1772788500,sol-up-or-down-15m,SOL,15m,up_down,,Down
2026-03-06T09:32:53Z,xrp-updown-15m-1772788500,xrp-up-or-down-15m,XRP,15m,up_down,,Down
2026-03-06T09:32:53Z,eth-updown-5m-1772789100,eth-up-or-down-5m,ETH,5m,up_down,,Down
2026-03-06T09:37:06Z,sol-updown-5m-1772789400,sol-up-or-down-5m,SOL,5m,up_down,,Down
2026-03-06T09:37:06Z,xrp-updown-5m-1772789400,xrp-up-or-down-5m,XRP,5m,up_down,,Down
2026-03-06T09:37:06Z,btc-updown-5m-1772789400,btc-up-or-down-5m,BTC,5m,up_down,,Down
2026-03-06T09:37:06Z,eth-updown-5m-1772789400,eth-up-or-down-5m,ETH,5m,up_down,,Down
2026-03-06T09:42:25Z,btc-updown-5m-1772789700,btc-up-or-down-5m,BTC,5m,up_down,,Up
2026-03-06T09:42:25Z,eth-updown-5m-1772789700,eth-up-or-down-5m,ETH,5m,up_down,,Down
2026-03-06T09:42:25Z,sol-updown-5m-1772789700,sol-up-or-down-5m,SOL,5m,up_down,,Up
2026-03-06T09:42:25Z,xrp-updown-5m-1772789700,xrp-up-or-down-5m,XRP,5m,up_down,,Up
2026-03-06T09:47:41Z,sol-updown-15m-1772789400,sol-up-or-down-15m,SOL,15m,up_down,,Up
2026-03-06T09:47:41Z,sol-updown-5m-1772790000,sol-up-or-down-5m,SOL,5m,up_down,,Up
2026-03-06T09:47:41Z,btc-updown-5m-1772790000,btc-up-or-down-5m,BTC,5m,up_down,,Up
2026-03-06T09:47:41Z,eth-updown-5m-1772790000,eth-up-or-down-5m,ETH,5m,up_down,,Up
2026-03-06T09:47:41Z,xrp-updown-5m-1772790000,xrp-up-or-down-5m,XRP,5m,up_down,,Up
2026-03-06T09:47:41Z,xrp-updown-15m-1772789400,xrp-up-or-down-15m,XRP,15m,up_down,,Down
2026-03-06T09:47:41Z,eth-updown-15m-1772789400,eth-up-or-down-15m,ETH,15m,up_down,,Down
2026-03-06T09:47:41Z,btc-updown-15m-1772789400,btc-up-or-down-15m,BTC,15m,up_down,,Up
2026-03-06T09:51:53Z,xrp-updown-5m-1772790300,xrp-up-or-down-5m,XRP,5m,up_down,,Down
