resolved_timestamp,event_name,league,game_id,market_type,outcome_name,won,max_implied_prob,max_clob_buy_price,first_seen_timestamp,last_seen_timestamp,minutes_tracked
2026-03-01T01:57:58.137139+00:00,Sabres vs. Lightning,nhl-2026,30024913,spread,Sabres,true,0.99,0.979,2026-03-01T00:00:04.260479+00:00,2026-03-01T01:53:55.178193+00:00,113.8
2026-03-01T01:57:58.137139+00:00,Arizona Wildcats vs. Utah Utes (W),cwbb,145943,moneyline,Utah Utes,true,0.99,0.95,2026-03-01T00:00:04.260479+00:00,2026-03-01T01:53:55.178193+00:00,113.8
2026-03-01T02:09:55.493927+00:00,Loyola Marymount Lions vs. Oregon State Beavers (W),cwbb,146076,moneyline,Loyola Marymount Lions,true,0.99,0.37,2026-02-28T21:01:20.491063+00:00,2026-03-01T02:04:46.296957+00:00,303.4
2026-03-01T02:09:55.493927+00:00,Pacific Tigers vs. San Diego Toreros (W),cwbb,146075,moneyline,San Diego Toreros,true,0.99,0.98,2026-02-28T22:00:57.912784+00:00,2026-03-01T02:04:46.296957+00:00,243.8
2026-03-01T02:09:55.493927+00:00,Sacred Heart Pioneers vs. Fairfield Stags (W),cwbb,145284,moneyline,Fairfield Stags,true,0.99,0.959,2026-03-01T00:00:04.260479+00:00,2026-03-01T02:04:46.296957+00:00,124.7
2026-03-01T02:26:11.569684+00:00,"T20 Series New Zealand vs Zimbabwe, Women: New Zealand vs Zimbabwe",international-cricket,,moneyline,Yes,true,0.99,0.98,2026-03-01T00:16:17.516810+00:00,2026-03-01T02:22:06.900258+00:00,125.8
2026-03-01T02:42:24.450876+00:00,UC Riverside Highlanders vs. CSUN Matadors (W),cwbb,145223,moneyline,UC Riverside Highlanders,true,0.99,0,2026-02-28T22:00:57.912784+00:00,2026-03-01T02:38:22.847559+00:00,277.4
2026-03-01T02:50:28.475647+00:00,"T20 Series New Zealand vs Zimbabwe, Women: New Zealand vs Zimbabwe - Most Sixes",international-cricket,,moneyline,Yes,true,0.99,0,2026-03-01T00:16:17.516810+00:00,2026-03-01T02:46:27.106297+00:00,150.2
2026-03-01T02:50:28.475647+00:00,"T20 Series New Zealand vs Zimbabwe, Women: New Zealand vs Zimbabwe - Team Top Batter",international-cricket,,moneyline,Yes,true,0.99,0,2026-03-01T00:16:17.516810+00:00,2026-03-01T02:46:27.106297+00:00,150.2
2026-03-01T02:58:30.190696+00:00,CF Monterrey vs. CF Cruz Azul,mex-2025,90103504,moneyline,No,true,0.99,0.97,2026-03-01T01:00:53.103973+00:00,2026-03-01T02:54:30.670066+00:00,113.6
2026-03-01T03:09:13.582873+00:00,Washington State Cougars vs. Pepperdine Waves,ncaa-cbb,72302,moneyline,Pepperdine Waves,true,0.99,0,2026-03-01T03:01:11.986028+00:00,2026-03-01T03:05:13.967284+00:00,4.0
2026-03-01T03:15:38.596475+00:00,San Francisco Dons vs. Pacific Tigers,ncaa-cbb,72304,moneyline,Under,true,0.99,0.999,2026-02-28T23:00:31.671684+00:00,2026-03-01T03:10:34.663366+00:00,250.0
2026-03-01T03:26:22.627537+00:00,Lakers vs. Warriors,nba-2026,20023331,spread,Lakers,true,0.99,0.98,2026-03-01T01:30:46.670696+00:00,2026-03-01T03:22:20.869531+00:00,111.6
2026-03-01T03:31:45.606150+00:00,Call of Duty: OpTic Texas vs Los Angeles Thieves (BO5) - Call of Duty League Stage 2 Major Qualifiers Qualifiers,call-of-duty,1350387,moneyline,OpTic Texas,true,0.99,0,2026-02-28T23:45:27.627158+00:00,2026-03-01T03:27:43.754769+00:00,222.3
2026-03-01T03:31:45.606150+00:00,Call of Duty: OpTic Texas vs Los Angeles Thieves (BO5) - Call of Duty League Stage 2 Major Qualifiers Qualifiers,call-of-duty,1350387,spread,Los Angeles Thieves,true,0.99,0.999,2026-03-01T02:27:33.391192+00:00,2026-03-01T03:27:43.754769+00:00,60.2
2026-03-01T03:47:56.700679+00:00,Houston Dynamo vs. Los Angeles FC,mls-2025,90104107,moneyline,No,true,0.99,0.999,2026-03-01T03:34:27.854994+00:00,2026-03-01T03:43:54.774950+00:00,9.4
2026-03-01T03:47:56.700679+00:00,"T20 Series New Zealand vs Zimbabwe, Women: New Zealand vs Zimbabwe",international-cricket,,moneyline,Yes,true,0.99,0,2026-03-01T03:34:27.854994+00:00,2026-03-01T03:43:54.774950+00:00,9.4
2026-03-01T03:53:17.014323+00:00,AHL: Hershey Bears vs. Rockford IceHogs,ahl-2026,4896704,moneyline,Hershey Bears,true,0.99,0.98,2026-03-01T01:00:53.103973+00:00,2026-03-01T03:49:17.496174+00:00,168.4
